PCA1,PCA2,PCA3,Price
4.793720225,-2.067676471,0.002765276,2.23
3.21132461,-2.312880763,-0.806908523,2.02
1.522674848,-0.193607197,2.023825846,2.09
-1.219090814,0.883826124,2.693023573,2.09
-1.843983985,0.314438402,1.687064991,2.05
-3.801700906,-0.986840467,0.913492722,2.12
-3.73768912,-1.701058426,-0.68189064,2.23
-3.660356142,-2.502908165,-0.959249831,2.03
-2.349742141,-1.732776684,0.213758031,1.92
-0.679346597,-1.134560139,-0.492668528,1.83
1.739683689,-0.050110971,2.317411029,1.87
5.264677078,-2.516778334,-1.988040305,2.01
3.138137599,-1.610417823,0.522560371,2.06
3.808787778,0.321141317,1.260924838,2.08
1.470290245,-0.973482689,1.848983726,2.12
-1.230303369,0.032500532,3.112369684,2.2
-2.771451288,-0.85101882,1.815669716,2.26
-3.657074656,-0.581680925,0.598612498,2.28
-3.473511826,-2.196588509,0.497206542,2.28
-3.473618174,-2.596694576,-1.238629825,2.15
-2.206454909,-1.756412371,-0.778203178,2.21
-0.646346454,-0.202032818,1.45748227,2.62
1.589616186,-1.225671531,0.203857872,3.02
3.286481091,-1.132112419,-0.2355024,3
4.579451859,-1.272441888,-0.132190513,3.01
5.061956653,-0.050124218,0.589385385,3.44
1.255262069,-0.361162972,2.0682228,3.52
-0.453888054,0.803733748,2.842483359,3.48
-2.008671872,0.27412876,1.604762274,3.52
-3.446545784,-1.035880603,0.503818,3.64
-3.878952931,-1.200049642,-1.288152358,3.32
-4.187042379,-1.801307452,-0.397399707,3.16
-2.734930961,0.004065336,0.302629125,3.21
-0.750535637,-0.618637139,1.001367692,3.31
1.156285344,0.119683598,1.029950891,3.53
3.942689776,-2.588367566,-0.533672551,3.73
4.844926345,-0.690422988,1.197104967,3.88
4.654022222,-1.6952556,-0.023632585,4.58
1.879366786,-0.452239526,1.66587039,4.69
0.063389068,-0.007558402,2.090871651,5.15
-2.252376044,0.284903901,2.897989344,5.25
-3.668228469,-0.900871814,1.898360251,5.71
-3.903983952,-1.742344958,-0.019401082,5.43
-3.169287541,-2.028842119,-0.818355267,5.17
-2.224676164,-1.991241394,-1.274657821,4.99
-0.152388262,-0.15940495,0.751145266,4.29
2.161219022,-0.702763401,-0.002166811,4.11
5.098827655,-1.743346792,-0.04347948,4.09
5.735543634,-0.993442938,-0.370142082,4.34
3.93487997,-0.830985725,0.551189019,3.75
1.895655266,8.58E-05,2.811320478,3.74
-0.410780215,-0.076903963,2.42632496,3.81
-2.056149404,-0.630408361,1.833180441,3.95
-3.806053321,-1.646729761,1.13644945,4.01
-3.279568449,-1.838270754,-0.572490765,3.56
-2.775519719,-2.491785549,-1.011255291,3.32
-1.615968123,-2.037827643,-1.428118111,3.27
-0.395089559,-1.990622829,0.611954035,3.59
0.870235514,-1.20529256,-0.000930645,3.55
4.6945242,-1.473614506,0.424073714,3.57
5.281895891,-1.779567454,-1.476983203,3.63
4.593836382,-1.990548331,-1.145701471,3.48
0.762223706,-0.490137987,1.265450503,3.53
-0.83529803,0.167312405,2.733981878,3.42
-2.328832396,-0.627043447,1.924578694,3.49
-3.914494605,-2.378472993,0.164031408,3.41
-3.797996721,-2.172638359,-0.782479558,3.51
-3.565700291,-1.982763357,-0.918702298,3.73
-2.891953997,-0.902271141,0.949372566,4.05
-1.047028216,0.559439071,2.046381651,4.51
1.172968986,-0.560963637,0.909210235,4.62
4.849180802,-2.027706937,-1.376613374,4.84
5.428259328,-1.186426785,-1.283746402,4.94
4.478764673,-0.915901714,1.505662245,5.86
1.176131632,0.302254153,1.753185089,5.73
-1.051419377,-0.253580173,3.236628355,6.68
-1.73797285,-1.004496521,2.313283553,6.65
-3.55840251,-1.422992446,1.806218746,6.56
-4.07825739,-2.433469097,-1.263504273,6.56
-3.632788098,-2.240640831,-1.386069807,6.96
-1.967109539,-1.368654125,0.275222212,6.1
-0.921444007,-0.473875898,0.847860291,5.84
1.513157626,-0.418891686,2.202041542,5.9
2.796357942,-1.380245128,-0.052004451,5.92
4.060428458,-0.82545322,0.974482282,6.12
2.989766806,-0.769419365,1.227933558,6.37
0.674098145,-0.220942567,2.352357568,6.48
-1.136679864,0.639260683,2.953207868,6.44
-2.808479724,0.118408314,2.05203677,6.39
-3.649266028,0.149248591,1.047278713,6.43
-4.49828886,-0.637832441,0.220515504,7.3
-3.619187373,-1.20942281,0.56446937,7.58
-2.241245606,-1.000623182,0.526597035,6.84
-0.666294432,-0.16391482,1.764122306,6.84
2.062733585,-0.898205817,0.424598415,7.07
2.76401349,-1.927526536,0.265729538,6.73
3.698669432,-0.849776573,0.433265202,6.87
4.312683646,-1.158657823,0.272284568,7.05
3.124167018,-0.580578025,0.284622721,7.14
-0.016068806,0.196520033,2.868575522,6.89
-2.349408944,-0.480048386,2.289928177,6.91
-3.709742753,-1.444444945,1.022214449,6.96
-3.306291674,-1.502598621,-1.101640843,6.73
-3.069271752,-1.897645548,-1.821839841,6.09
-2.586568444,-0.976502289,-0.367935161,5.25
-0.977358123,-0.936315404,0.441909603,4.49
2.395596344,-0.223948756,1.396165757,4.5
4.56046945,-1.237432373,-0.8722258,4.58
6.079474787,-0.152690064,1.753653656,4.47
5.125440427,-0.547198152,0.559720497,4.36
3.182140471,0.167688801,1.693704386,4.56
-1.141566417,1.090294535,3.757470163,4.84
-2.751097011,0.683042628,2.370108827,4.77
-3.886726434,-1.569280886,1.175137125,4.68
-3.242241679,-1.622856906,-0.353241012,4.12
-4.006214467,-2.184863604,-0.588313183,3.74
-2.341793942,-1.221005628,-0.610369035,3.51
-0.900985924,-0.877011001,1.266505178,3.58
2.684297906,-0.238684059,0.829858713,3.63
3.628729343,-1.874274549,-1.337794781,3.81
5.400659048,-1.029042785,-0.578855577,3.82
5.726693843,0.054424555,0.085304912,3.78
2.371717308,-0.125377323,0.714340599,3.79
-1.076542781,0.529011473,3.094498891,3.71
-2.061030405,-0.60616674,1.689081936,3.62
-3.640815047,-2.056294861,1.207925789,3.65
-3.848068549,-1.954929955,-0.720014324,3.85
-3.337857423,-1.641886202,-1.267477812,3.63
-2.992574415,-0.996032348,-0.187275789,3.69
-0.406443659,0.08222422,0.870584981,3.7
1.267659717,-0.385509343,1.402472124,3.7
2.364009636,-1.626196323,0.917104535,3.79
4.164659246,-1.081211859,-0.149035905,3.73
3.270299026,-0.406581028,1.288209354,3.63
0.722635574,-0.758106037,2.033786504,3.67
-0.635352508,0.444833964,3.157153079,3.67
-2.770425838,-0.534353535,1.756388309,3.82
-3.57764893,-0.514303988,0.134916644,3.92
-3.951512826,-2.535456156,-0.561692878,3.63
-3.76859841,-2.68969986,-1.541000428,3.17
-2.765954164,-1.437277944,-0.280853666,3.27
-1.058508283,-0.995906668,0.524875191,3.3
1.051958429,-1.057047782,0.445342221,3.32
