,COUNTY,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
63,mclean,2006,ARP,82.0,55.7,30.0,66.0,43.0,22.0,100.0,66.3333333333,21.0,30.35,29.926,29.41,10.0,8.86666666667,0.0,40.0,12.8666666667,4.94,14.0,1.0,1.0,8.0
64,mclean,2006,MAY,91.0,61.064516129,41.0,72.0,51.5161290323,29.0,100.0,73.7741935484,23.0,30.25,29.8848387097,29.51,10.0,8.83870967742,0.0,41.0,10.3225806452,2.92,15.0,0.0,2.0,6.0
65,mclean,2006,JUN,92.0,70.3666666667,48.0,73.0,58.0333333333,43.0,100.0,66.6333333333,31.0,30.19,30.0016666667,29.81,10.0,9.63333333333,0.0,46.0,9.3,0.92,10.0,0.0,2.0,6.0
66,mclean,2006,JUL,93.0,76.1935483871,54.0,83.0,69.2258064516,50.0,100.0,80.6774193548,36.0,30.34,29.9880645161,29.74,10.0,8.29032258065,0.0,45.0,8.74193548387,3.38,11.0,0.0,5.0,10.0
67,mclean,2006,AUG,92.0,72.8709677419,57.0,80.0,68.2258064516,55.0,100.0,86.7419354839,45.0,30.21,29.9993548387,29.76,10.0,8.0,0.0,46.0,8.38709677419,1.47,15.0,0.0,5.0,6.0
68,mclean,2006,SEP,86.0,63.3666666667,43.0,73.0,56.7,38.0,100.0,81.9333333333,38.0,30.16,29.9683333333,29.54,20.0,8.4,0.0,32.0,8.63333333333,0.46,10.0,0.0,3.0,6.0
69,mclean,2006,OCT,90.0,50.4193548387,29.0,69.0,42.3870967742,20.0,100.0,76.8064516129,28.0,30.52,29.9848387097,29.41,10.0,8.61290322581,0.0,30.0,11.6129032258,2.62,12.0,0.0,1.0,1.0
70,mclean,2006,NOV,72.0,42.9666666667,19.0,63.0,35.5666666667,12.0,100.0,78.0666666667,33.0,30.55,30.098,29.55,10.0,7.5,0.0,33.0,11.7,2.61,9.0,1.0,7.0,1.0
71,mclean,2006,DEC,56.0,34.2580645161,2.0,55.0,29.8387096774,-2.0,100.0,82.8387096774,49.0,30.79,30.1712903226,29.47,10.0,7.41935483871,0.0,29.0,11.3225806452,1.66,6.0,3.0,9.0,1.0
72,mclean,2007,JAN,52.0,27.9677419355,3.0,48.0,23.6774193548,-2.0,100.0,82.3225806452,44.0,30.77,30.1416129032,29.65,10.0,7.48387096774,0.0,31.0,13.6451612903,1.95,8.0,11.0,2.0,0.0
73,mclean,2007,FEB,43.0,18.5357142857,-8.0,38.0,11.6785714286,-16.0,100.0,74.5357142857,33.0,30.73,30.1228571429,29.35,10.0,8.17857142857,0.0,37.0,13.8571428571,1.2,3.0,10.0,3.0,1.0
74,mclean,2007,MAR,79.0,45.9032258065,12.0,65.0,38.1290322581,8.0,100.0,76.935483871,32.0,30.61,30.1074193548,29.12,10.0,8.09677419355,0.0,37.0,13.8064516129,4.79,15.0,2.0,7.0,8.0
75,mclean,2007,ARP,86.0,49.0333333333,20.0,59.0,36.6,9.0,100.0,64.8,25.0,30.32,29.9766666667,29.26,10.0,9.03333333333,0.0,37.0,13.2,2.21,8.0,1.0,2.0,5.0
76,mclean,2007,MAY,88.0,67.0322580645,41.0,66.0,51.4516129032,27.0,100.0,60.6451612903,20.0,30.38,30.0732258065,29.81,15.0,8.67741935484,0.0,36.0,11.0967741935,2.11,10.0,0.0,1.0,2.0
77,mclean,2007,JUN,93.0,72.1666666667,48.0,75.0,60.4333333333,43.0,100.0,70.0,24.0,30.23,29.9596666667,29.51,10.0,8.33333333333,0.0,34.0,9.23333333333,2.16,10.0,0.0,6.0,7.0
78,mclean,2007,JUL,90.0,72.3870967742,54.0,77.0,62.4838709677,48.0,100.0,72.2580645161,34.0,30.26,29.9941935484,29.76,20.0,9.1935483871,0.0,28.0,7.54838709677,1.89,9.0,0.0,2.0,6.0
79,mclean,2007,AUG,97.0,77.4838709677,54.0,79.0,67.8064516129,49.0,100.0,75.064516129,39.0,30.23,29.9693548387,29.75,10.0,8.90322580645,0.0,32.0,7.93548387097,1.02,8.0,0.0,1.0,5.0
80,mclean,2007,SEP,95.0,69.8333333333,38.0,73.0,54.6333333333,29.0,100.0,61.8666666667,20.0,30.41,30.0676666667,29.82,10.0,9.23333333333,0.0,28.0,8.76666666667,0.86,8.0,0.0,2.0,2.0
81,mclean,2007,OCT,90.0,59.064516129,34.0,70.0,48.8709677419,23.0,100.0,71.5806451613,27.0,30.66,30.0116129032,29.3,10.0,8.54838709677,0.0,33.0,11.2580645161,3.24,13.0,0.0,1.0,2.0
82,mclean,2007,NOV,68.0,40.5666666667,20.0,61.0,30.7333333333,6.0,100.0,69.6,25.0,30.54,30.129,29.71,10.0,8.4,1.0,32.0,12.1,1.89,6.0,4.0,0.0,2.0
83,mclean,2007,DEC,57.0,28.6451612903,7.0,54.0,25.9677419355,3.0,100.0,88.6774193548,55.0,30.53,30.0903225806,29.3,10.0,5.12903225806,0.0,38.0,11.6129032258,3.44,9.0,11.0,12.0,1.0
84,mclean,2008,JAN,65.0,24.3870967742,-6.0,59.0,19.6129032258,-14.0,100.0,79.3225806452,41.0,30.88,30.1270967742,29.06,10.0,7.8064516129,0.0,34.0,14.6451612903,3.08,7.0,15.0,3.0,3.0
85,mclean,2008,FEB,52.0,24.0344827586,1.0,52.0,19.9310344828,-10.0,100.0,83.4482758621,46.0,30.62,30.0355172414,29.12,10.0,6.58620689655,0.0,37.0,13.3448275862,2.33,9.0,14.0,7.0,2.0
86,mclean,2008,MAR,64.0,36.8387096774,11.0,59.0,30.2258064516,5.0,100.0,78.7741935484,25.0,30.47,30.08,29.56,10.0,8.09677419355,0.0,45.0,12.3870967742,1.58,10.0,3.0,6.0,2.0
87,mclean,2008,ARP,79.0,50.1,29.0,64.0,40.9666666667,25.0,100.0,73.8333333333,35.0,30.51,29.995,29.42,10.0,8.53333333333,0.0,37.0,13.3666666667,1.79,11.0,1.0,2.0,2.0
88,mclean,2008,MAY,81.0,57.7096774194,39.0,70.0,46.8064516129,29.0,100.0,68.3548387097,24.0,30.38,29.87,29.13,10.0,9.03225806452,1.0,38.0,12.3225806452,3.38,16.0,0.0,0.0,7.0
89,mclean,2008,JUN,90.0,71.9666666667,54.0,77.0,60.1666666667,43.0,100.0,67.8333333333,27.0,30.2,29.9056666667,29.55,10.0,9.56666666667,0.0,44.0,11.4,0.34,10.0,0.0,2.0,8.0
90,mclean,2008,JUL,88.0,72.6129032258,52.0,76.0,63.6774193548,45.0,100.0,74.7096774194,30.0,30.15,29.9635483871,29.73,10.0,9.03225806452,0.0,38.0,8.51612903226,4.22,9.0,0.0,3.0,8.0
