"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00115927","2000-06",,,"10","8","0","0",,,,,,,"0","0.0","2.83",,,,,,,,,,,,,,,,"6.94","0.0",,,
"USC00115927","2000-07",,,"7","4","0","0",,,,,,,"0","0.0","2.08",,,,,,,,,,,,,,,,"3.22","0.0",,,
"USC00115927","2000-08",,,"11","9","0","0",,,,,,,"0","0.0","2.24",,,,,,,,,,,,,,,,"5.61","0.0",,,
"USC00115927","2000-09",,,"9","6","0","0",,,,,,,"0","0.0","0.71",,,,,,,,,,,,,,,,"2.44","0.0",,,
"USC00115927","2000-10",,,"4","4","0","0",,,,,,,"0","0.0","1.31",,,,,,,,,,,,,,,,"2.56","0.0",,,
"USC00115927","2000-11",,,"11","7","0","0",,,,,,,"0","0.0","1.32",,,,,,,,,,,,,,,,"3.72","0.0",,,
"USC00115927","2000-12",,,"11","4","17","3",,,,,,,"8","5.6","0.52",,,,,,,,,,,,,,,,"1.84","12.6",,,
"USC00115927","2001-01",,,"8","5",,"1",,,,,,,,"1.3","1.06",,,,,,,,,,,,,,,,"2.60","3.5",,,
"USC00115927","2001-02",,,"10","6","1","1",,,,,,,"2","2.0","2.03",,,,,,,,,,,,,,,,"3.93","2.4",,,
"USC00115927","2001-03",,,"5","4","0","0",,,,,,,"0","0.0","0.76",,,,,,,,,,,,,,,,"1.39","0.0",,,
"USC00115927","2001-04",,,"13","8","0","0",,,,,,,"0","0.0","0.55",,,,,,,,,,,,,,,,"1.91","0.0",,,
"USC00115927","2001-05",,,"17","7","0","0",,,,,,,"0","0.0","1.11",,,,,,,,,,,,,,,,"3.22","0.0",,,
"USC00115927","2001-06",,,"9","7","0","0",,,,,,,"0","0.0","0.92",,,,,,,,,,,,,,,,"3.48","0.0",,,
"USC00115927","2001-07",,,"6","5","0","0",,,,,,,"0","0.0","1.63",,,,,,,,,,,,,,,,"2.50","0.0",,,
"USC00115927","2001-08",,,"9","5","0","0",,,,,,,"0","0.0","2.21",,,,,,,,,,,,,,,,"5.02","0.0",,,
"USC00115927","2001-09",,,"8","6","0","0",,,,,,,"0","0.0","0.68",,,,,,,,,,,,,,,,"2.43","0.0",,,
"USC00115927","2001-10",,,"8","8","0","0",,,,,,,"0","0.0","1.44",,,,,,,,,,,,,,,,"4.93","0.0",,,
"USC00115927","2001-11",,,"8","6","0","0",,,,,,,"0","0.0","0.69",,,,,,,,,,,,,,,,"2.18","0.0",,,
"USC00115927","2001-12",,,"10","6","1","1",,,,,,,"2","2.2","0.52",,,,,,,,,,,,,,,,"2.02","2.2",,,
"USC00115927","2002-01",,,"5","3","0","0",,,,,,,"0","0.3","1.91",,,,,,,,,,,,,,,,"2.77","0.8",,,
"USC00115927","2002-02",,,"8","7","3","1",,,,,,,"5","4.8","1.43",,,,,,,,,,,,,,,,"2.85","4.8",,,
"USC00115927","2002-03",,,"10","7","4","2",,,,,,,"1","1.2","1.05",,,,,,,,,,,,,,,,"2.78","2.7",,,
"USC00115927","2002-04",,,"8","7","0","0",,,,,,,"0","0.0","2.26",,,,,,,,,,,,,,,,"6.87","0.0",,,
"USC00115927","2002-05",,,"14","11","0","0",,,,,,,"0","0.0","2.12",,,,,,,,,,,,,,,,"6.59","0.0",,,
"USC00115927","2002-06",,,"7","6","0","0",,,,,,,"0","0.0","1.39",,,,,,,,,,,,,,,,"3.45","0.0",,,
"USC00115927","2002-07",,,"7","3","0","0",,,,,,,"0","0.0","2.98",,,,,,,,,,,,,,,,"5.17","0.0",,,
"USC00115927","2002-08",,,"8","8","0","0",,,,,,,"0","0.0","2.58",,,,,,,,,,,,,,,,"8.30","0.0",,,
"USC00115927","2002-09",,,"7","4","0","0",,,,,,,"0","0.0","0.42",,,,,,,,,,,,,,,,"1.44","0.0",,,
"USC00115927","2002-10",,,"12","8","0","0",,,,,,,"0","0.0","1.62",,,,,,,,,,,,,,,,"3.69","0.0",,,
"USC00115927","2002-11",,,"8","3","0","0",,,,,,,"0","0.0","0.32",,,,,,,,,,,,,,,,"0.80","0.0",,,
"USC00115927","2002-12",,,"4","3","5","1",,,,,,,"6","6.2","0.46",,,,,,,,,,,,,,,,"1.25","6.2",,,
"USC00115927","2003-01",,,"9","2","14","5",,,,,,,"2","1.7","0.14",,,,,,,,,,,,,,,,"0.63","6.7",,,
"USC00115927","2003-02",,,"8","5","9","4",,,,,,,"5","5.4","1.20",,,,,,,,,,,,,,,,"2.60","11.9",,,
"USC00115927","2003-03",,,"10","6","0","0",,,,,,,"0","0.3","0.49",,,,,,,,,,,,,,,,"1.93","0.3",,,
"USC00115927","2003-04",,,"9","7","0","0",,,,,,,"0","0.0","0.95",,,,,,,,,,,,,,,,"3.38","0.0",,,
"USC00115927","2003-05",,,"11","9","0","0",,,,,,,"0","0.0","0.81",,,,,,,,,,,,,,,,"3.80","0.0",,,
"USC00115927","2003-06",,,"9","6","0","0",,,,,,,"0","0.0","1.39",,,,,,,,,,,,,,,,"3.17","0.0",,,
"USC00115927","2003-07",,,"8","7","0","0",,,,,,,"0","0.0","3.18",,,,,,,,,,,,,,,,"8.65","0.0",,,
"USC00115927","2003-08",,,"6","6","0","0",,,,,,,"0","0.0","0.44",,,,,,,,,,,,,,,,"1.44","0.0",,,
"USC00115927","2003-09",,,"7","3","0","0",,,,,,,"0","0.0","3.22",,,,,,,,,,,,,,,,"4.25","0.0",,,
"USC00115927","2003-10",,,"7","4","0","0",,,,,,,"0","0.0","0.51",,,,,,,,,,,,,,,,"1.27","0.0",,,
"USC00115927","2003-11",,,"9","5","0","0",,,,,,,"0","0.0","2.29",,,,,,,,,,,,,,,,"4.20","0.0",,,
"USC00115927","2003-12",,,"8","5","3","3",,,,,,,"2","2.4","0.74",,,,,,,,,,,,,,,,"1.67","5.6",,,
"USC00115927","2004-01",,,"9","4","6","2",,,,,,,"3","1.7","0.43",,,,,,,,,,,,,,,,"1.37","4.3",,,
"USC00115927","2004-02",,,"6","2","15","2",,,,,,,"4","1.4","0.33",,,,,,,,,,,,,,,,"0.59","3.2",,,
"USC00115927","2004-03",,,"12","7","1","1",,,,,,,"2","2.2","1.11",,,,,,,,,,,,,,,,"4.33","2.2",,,
"USC00115927","2004-04",,,"4","3","0","0",,,,,,,"0","0.0","0.40",,,,,,,,,,,,,,,,"0.94","0.0",,,
"USC00115927","2004-05",,,"14","9","0","0",,,,,,,"0","0.0","1.86",,,,,,,,,,,,,,,,"5.48","0.0",,,
"USC00115927","2004-06",,,"9","6","0","0",,,,,,,"0","0.0","1.21",,,,,,,,,,,,,,,,"3.50","0.0",,,
"USC00115927","2004-07",,,"10","6","0","0",,,,,,,"0","0.0","0.78",,,,,,,,,,,,,,,,"5.30","0.0",,,
"USC00115927","2004-08",,,"10","9","0","0",,,,,,,"0","0.0","2.21",,,,,,,,,,,,,,,,"5.43","0.0",,,
"USC00115927","2004-09",,,"1","1","0","0",,,,,,,"0","0.0","0.18",,,,,,,,,,,,,,,,"0.18","0.0",,,
